subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16192935,United States of America,North Carolina,Wayne,"Town of Fremont, along NC Rt.222, east of Evans Farm Road, growing along roadside ditch.",,,feet,35,32,52.71,- 77,59,01.95,"Longbottom, Wayne D.",,"16,167",,9 - September,25,2011,,,,R0001220.JPG,NYBG 3196996,Senna obtusifolia,8e37959f-dfa6-44b6-a201-b94215340016
16192937,United States of America,Arizona,Maricopa,"Salt Rivr at 35th Avenue bridge in Phoenix, just downstream from storm water/effluent drain with periodic large pulses of discharge; riparian, growing along terrace above storm drain, plant community of sedges, cattail, and other wetland species.",1022,,feet,33.411913,,,- 112.133472,,,"Makings, Liz","Dustin Wolkis, Julie Stromberg, Heather Bateman",3869,,1 - January,21,2012,,,,R0001205.JPG,NYBG 3196995,Senna artemisioides,90a9d5ee-a1c6-4dd3-b6b1-6932ea796abd
16192938,Gabon,Ogooué-Lolo,,"Makande surroundings, c. 65 km SSW of Booué. In forest.",,,,- 0,41 S,,11,55 E,,"Breteler, F. J.",G. Caballé; Y. Azizet Issembé; J.-M. Moussavou; O. Pascal; R.H.M.J. Lemmens & M.S.M. Sosef,15011,,2 - February,11,1999,,,,R0001202.JPG,NYBG 3196994,Scorodophloeus zenkeri,90f68e06-c5cb-48dc-9de1-5c0512314486
16192939,"Tanzania, United Republic of",Tanga,,"Mkaramo Parish, Mkwaja Subchiefeom, Mwera Chiefdom, Pangani Diestrict",150,,feet,,,,,,,"Tanner, R. E. S.",Zigua: Mhande,3597,,7 - July,10,1957,,,,R0001201.JPG,NYBG 3196992,Scorodophloeus fischeri,90fb8362-a4ed-407d-a8b1-32dc56506101
16192941,Congo (Democratic Republic of the),Kasaï-Central,,Babadi - Kasai,,,unknown,,,,,,,Gillardin,,125,,12 - December,Not Shown,1934,,,,R0001199.JPG,NYBG 3196991,Leonardoxa romii,911525c9-04f7-4213-8781-a9842216c2d8
16192942,South Africa,Natal,Ubombo,2732 CC Ubombo. Natal. 17 m. N. of Hluhluwe on Mkuze rd.,,,,,,,,,,"Ross, J. H.",,1981,,2 - February,16,1969,,,,R0001198.JPG,NYBG 3196990,Schotia capitata,9117928a-8600-4ab1-a05d-1f827be3eebe
16192943,South Africa,Eastern Cape,Sarah Baartman,Kommadagga.,1000,,feet,,,,,,,"Bayliss, R. D. A.",,8397,,1 - January,2,1978,,,,R0001197.JPG,NYBG 3196989,Schotia latifolia,911c17c2-6f62-424a-a47e-55216f95a486
16192944,Congo (Democratic Republic of the),,,"Prov. Leopoldville, Territ. Boma, Loc. Luki, vieille forêt",,,,,,,,,,"Wagemans, J.",,1065,,10 - October,29,1955,,,,R0001195.JPG,NYBG 3196988,Leonardoxa bequaertii,9143aff7-3d15-4111-b7d6-27566f5e388b
16192945,Mexico,Veracruz,Tlacotepec de Mejía,"3 km W of Maria Oscura, Hwy 125 WSW from Puente Nacional to Huatusco, approx. 20 km NE of Huatusco.",1080,,meters,19,12,,- 96,51,,"Hughes, C. E.",,1880,,12 - December,6,1993,,,,R0001193.JPG,NYBG 3196987,Schizolobium parahyba,9159da14-048a-49d7-816c-1e382bf59105
16192946,China,Guangdong,,Guangzhou,,,,,,,,,,"Yip, H. G.",,137,,4 - April,3,1981,Not shown,Not shown,Not shown,R0001191.JPG,NYBG 3196986,Saraca dives,919d81bc-0f76-47f8-ae4b-6da283a6a0f8
16192948,Yemen,Ibb,,"Ibb Governorate, ca. 2 air miles W of Ibb, near Acama.",2000,,meters,,,,,,,"Spellenberg, Richard",,7287,,7 - July,12,1983,,,,R0001185.JPG,NYBG 3196985,Pterolobium stellatum,922084dd-94b5-45f8-b45b-8144aea17e21
16192949,Viet Nam,Ha Giang,Meo Vac,Meo Vac town.,1075,,meters,23,9.45 N,,105,24.37 E,,"Tan, Le Dong","Phan Ke Loc, Pham Van The",407,NY-HN 407,6 - June,6,2006,,,,R0001184.JPG,NYBG 3196984,Pterolobium microphyllum,9269ee52-b816-429b-aeb1-011aa106103f
16192950,India,Tamil Nadu,,Western Ghats. Palni Hills: along road from Kodai Kanal to Palni. [map],800,1000,meters,,,,,,,"Klackenberg, J.",R. Lundin,133,,9 - September,28,1982,,,,R0001183.JPG,NYBG 3196983,Pterolobium membranulaceum,92cb76c1-1a06-4ff0-853f-8fabe1257573
16192951,India,Mysore,,Arsikere-Hassan road.,,,,13 N,,,76 E,,,"Saldanha, C. J.",,13532,13532,5 - May,26,1969,,,,R0001182.JPG,NYBG 3196982,Pterolobium hexapetalum,92e1039a-8f51-46c5-950e-fb2fbb5f406a
16192953,China,Guangxi,Baldwin,"Yangso, on rocks",180,,meters,79102,,,1979,,,"Wan, P. P.",K. S. Chow,79102,ujuj,Not Shown,Not Shown,1979,Not shown,Not shown,Not shown,R0001181.JPG,NYBG 3196981,Pterolobium punctatum,949108d9-0568-4485-a1bb-78ae145ec32e
16192954,Panama,Colon,,Canal Zone. Trail along Rio Petitpie from road to Ft. Sherman from Gatun Locks (S2 or 82). Edge of Prioria swamp near road cf. Combertac.,,,,,,,,,,"Mori, S.",J. Kallunki,2702,,10 - October,22,1974,,,,R0001179.JPG,NYBG 3196980,Prioria copaifera,931f2818-bd16-412d-bf6c-2cb3d9fbb024
16192955,South Africa,Northern Cape,,"Postmasburg; 5 miles WNW of Moeswal, W of Langeberg Mts.","4,000",,feet,,,,,,,"Leistner, O. A.",,1678,,3 - March,19,1960,,,,R0001178.JPG,NYBG 3196979,Pomaria burchellii,93445eed-c722-4917-90cc-59d775946095
16192956,Mexico,Chihuahua,,"7 mi SE of Tomas Garcia, SE end of Sierra de Mapula, 1.5 mi off rd towards mts. Rancho El Ojito, vicinity of Pico Ojito. Chaparral-grassland w/many cacti, Mimosa & Cassia; N-slope; suffrutescent with Bouvardia and Rhus.",5200,5200,feet,28,28,,105,45,,"Lehto, Elinor","D.J. Pinkava, B. Parfitt, T. Reeves",21580,#L21580,7 - July,19,1977,,,,R0001174.JPG,NYBG 3196978,Pomaria multijuga,939816bb-94ad-48e2-b144-9fe6221213b4
16192958,Mexico,Zacatecas,Fresnillo,"Chapultepec mountains, 21 miles N of Fresnillo.",7000,,feet,,,,,,,"Walker, Sally",,72,76H72,8 - August,13,1976,,,,R0001173.JPG,NYBG 3196977,Pomaria glandulosa,949aef93-4ab0-40db-b1cb-2636bdedbfe7
16192959,Mexico,Nuevo León,Galeana,3 km west of San Rafael.,,,,,,,,,,"Ripley, H. D.",,14921,"14,921",8 - August,19,1968,,,,R0001172.JPG,NYBG 3196976,Pomaria canescens,93c8baeb-0b51-4f4c-802b-212893874b74
16192960,Mexico,Tamaulipas,San Fernando,"Mpio. San Fernando: on road to Menez, 16 km W of main highway leading north from San Fernando.",100,,meters,,,,,,,"Fryxell, Paul A.",,3724,,9 - September,25,1981,,,,R0001171.JPG,NYBG 3196975,Pomaria austrotexana,939934c9-ab3f-400e-8e37-e2b57760f29d
16192961,Cameroon,Centre-Sud,,"Steep hillside on Ngovayang Mountain,above Bibondi village,near Lolodorf.",500,1000,meters,3,18,N,10,39,E,"Thomas, D.",,3424,,4 - April,9,1984,4 - April,9,1984,R0001170.JPG,NYBG 3196974,Plagiosiphon longitubus,93a8da17-43c6-4629-8d2f-46d49693a8d7
16192963,Gabon,,,Chantier Rougier Océan; ca. 25 km NNW of Oveng.,,,,0,44 N,,11,22 E,,"Reitsma, J. M.",B. Reitsma,1592,,9 - September,25,1985,,,,R0001167.JPG,NYBG 3196973,Plagiosiphon gabonensis,93e982b4-ae95-4ef7-b1f2-fcb3fefcdd8e
16192964,Gabon,Ogooué-Lolo,,"Near Bambidie, E of Lastoursville.",300,,meters,0,44 S,,12,58 E,58,"Breteler, F. J.",T. Nzabi & J. J. Wieringa,13333,,10 - October,16,1994,,,,R0001165.JPG,NYBG 3196972,Plagiosiphon emarginatus,93f89821-6be1-4fac-9cd2-ca7331ded171
16192965,China,Yunnan,,,,,,,,,,,,"Henry, A.",,13098,,7 - July,,Not Shown,,,,R0001163.JPG,NYBG 3196971,Phanera yunnanensis,95185946-cd3a-40cd-ba93-60bb6dc1e4b0
16192966,Australia,South Australia,,South Australia: Gammon Ranges; in a river corssing 12 km south of the intersection of the roads to Arkaroola/ Wooltana and Frame Downs,,,,,,,,,,"Grimes, James",Barbara Meurer-Grimes,3208,,9 - September,26,1990,,,,R0001161.JPG,NYBG 3196970,Petalostylis labicheoides,8808b7f5-ab2a-4a1c-ac5c-b10fe97949df
16192968,Australia,Northern Territory,CS,Alice Springs. Common on red sand of sandstone hill.,,,,- 24,16,07 S,133,26,03 E,"Michell, C. R.","Calliss, S.",1040,,11 - November,9,1997,,,,R0001158.JPG,NYBG 3196969,Petalostylis cassioides,887f7f7f-a888-424f-a15b-4aca270791b1
16192969,Indonesia,,,"Sumatra, Palembang, Ogan Oeloe, Batanghari.",58,,meters,,,,,,,Neth. Ind. For. Service,Neth. Ind. For. Service,20208,b. b. 20208,11 - November,18,1935,,,,R0001153.JPG,NYBG 3196968,Peltophorum grande,864fbe36-d435-40e4-83ee-c92eb676b08e
16192970,Mexico,Chiapas,Frontera Comalapa,"Close to the main road from Comitan de Dominguez towards Ciudad Cuauhtemoc, about 1 km NW of Frontera Comalapa, in the upper reaches of the central depression of Chiapas, near the Guatemalan border",700,,meters,15,41,,- 92,1,,"Hughes, C. E.","S. A. Harris, R. Atkinson",1685,,2 - February,27,1992,,,,R0001147.JPG,NYBG 3196966,Peltophorum dubium,86a0c536-254d-403f-925a-3a33812a761c
16192971,French Guiana,,Community of West French Guiana,"Ile d'Antecume Pata, confluent de l'Itany (Haut Maroni) et du Marouini.",,,,,,,,,,Cremers,,5064,5064,11 - November,17,1977,,,,R0001145.JPG,NYBG 3196965,Peltogyne venosa,8732d143-f803-42d8-b097-2089da59e9c3
16192973,Guyana,Rupununi District,,"Rupununi Distr., Kanuku Mts., Crabwood Cr., Camp 2. Forest, on brown loamy sand.",260,,meters,03,07 N,,059,06 W,,"Jansen-Jacobs, M. J.","B.J.H. ter Welle, A. Chanderbali, U. Raghoenandan, V. James",3308,,1 - January,23,1994,,,,R0001136.JPG,NYBG 3196964,Peltogyne floribunda,8147f880-1b6d-40e7-91f5-19ba16242a8f
16192974,Peru,Loreto,Maynas,"Dtto. Punchana. Rio Momon, un poco arriba del caserio de Balcon, en orilla inundable, 20 minutos del puerto de Bellavista.",,90,meters,,,,,,,"Rimachi Y., Manuel",,10343,,1 - January,11,1993,,,,R0001129.JPG,NYBG 3196963,Peltogyne altissima,81bc66fb-ab61-4c92-8575-a9918a66c028
16192975,Costa Rica,Puntarenas,Aguirre,Cantón de Aguirre. P.N. Manuel Antonio. Faja Costeña del Valle de Parrita. En el sendero de Punta Catedral.,1,72,meters,09,22,43 N,- 84,08,59 W,"Morales, J. F.",R. J. Abarca,4865,,9 - September,9,1995,,,,R0001128.JPG,NYBG 3196962,Peltogyne purpurea,81f4206f-1040-48c9-9066-17ef7f0f133b
16192976,Colombia,Bolivar,San Jacinto,"Ca. 16 km NW of San Jacinto, Cerro Maco, ca. 200 m SE of radar installation. Just below summit of mountain.",790,,meters,9,53 N,,75,12 W,,"Zarucchi, James L.",Hermes Cuadros,4017,,8 - August,8,1985,,,,R0001127.JPG,NYBG 3196961,Peltogyne mexicana,8229068f-f499-40bc-929d-862c49810013
16192978,Equatorial Guinea,,,"Bata-Bicomo: Central Hidroelectrica dobre el Rio Ecucu. Estrada kms. 22. Bosque primario con varios ""generos""",,,,,,,,,,Carvalho,,4985,,1 - January,16,1992,,,,R0001126.JPG,NYBG 3196960,Pellegriniodendron diphyllum,8233926e-c276-4e1b-8a61-ee83d31e131e
16192979,Namibia,,,"Namibrand Karibib, Otjosondu.",1300,,meters,,,,,,,"Seydel, R.",,3326,,2 - February,12,1963,,,,R0001125.JPG,NYBG 3196959,Parkinsonia africana,8233fd47-bdae-49c4-baa1-05a3374a5aea
16192980,Congo (Democratic Republic of the),Not shown,Not shown,"Congo Belgica. Yangambi, km 8,400 de la route de Ngazi à l'Est",470,,,,,,,,,"Louis, Jean",,2411,,8 - August,9,1936,,,,R0001123.JPG,NYBG 3196958,Paramacrolobium coeruleum,829449a4-1a92-4d5f-9834-a683e3ff7a80
16192982,Liberia,,,(Near Firestone Plantations) along Dukwai R.,,,,,,,,,,"Cooper, G. P.",,256,,Not Shown,Not Shown,1929,,,,R0001117.JPG,NYBG 3196957,Stachyothyrsus stapfiana,8395d3b8-1bea-4abf-a96f-5ec93a9619c8
16192983,Congo (Democratic Republic of the),,,Yangambi,470,,meters,,,,,,,"Louis, Jean",,977,,1 - January,7,1937,,,,R0001116.JPG,NYBG 3196956,Oxystigma oxyphyllum,839a4af3-c38b-4f2b-9cc3-32437e26df5b
16192984,"Tanzania, United Republic of",,,"S. Kilimanjaro Dist. T.T. In Ficus, Chlorophora Trema forest on a dark soil. Rau forest",2500,,feet,,,,,,,Greenway,,4530,,1 - January,29,1936,,,,R0001115.JPG,NYBG 3196955,Oxystigma msoo,839a915d-48ba-4074-ab17-0ce7218c0b63
16192985,Cameroon,,,"Banks of Ndian R., betw. Bulu (head of tide) & Last Banana, edge of Rio del Rey mangrove swamp; 20 km stretch sampled by boat. Map # NB 32 IV Buea-Douala.",0,0,meters,4,53,,8,47,,"Thomas, D. W.",,2353,2353,7 - July,22,1983,,,,R0001114.JPG,NYBG 3196954,Oxystigma mannii,83d6ff04-c99d-49a7-b880-c04c7dca4a52
16192986,Gabon,,Mulundu,Région de Lastouraville.,,,,,,,,,,"Le Testu, M. G.",,8.176,8.176,Not Shown,Not Shown,1929,Not shown,Not shown,1931,R0001113.JPG,NYBG 3196953,Oxystigma buchholzii,83e31e00-58a1-4f1f-8289-9cdb5a137efb
16192988,Madagascar,Toliara,,"Sud-Ouest: Bush, aux env. de la ""Table"".",,,,,,,,,,"Capuron, R.",Service Forestier de Madagascar,11906,11906 SF,3 - March,Not Shown,1955,,,,R0001112.JPG,NYBG 3196952,Neoapaloxylon madagascariense,83ecc648-3394-4b6f-a690-f5690af12b51
16192989,Colombia,Antioquia,,"Carretera a Dabeiba, 5-10 Km al sur del pueblo.",150,,meters,,,,,,,"Bernal, R.",J. I. DelValle,616,,5 - May,16,1983,,,,R0001111.JPG,NYBG 3196951,Orphanodendron bernalii,83edc358-9845-40ce-829b-9582810d34cd
16192990,United States of America,Hawaii,Honolulu,"grown from seed sourced from the botanical gardens at what is now Peradeniya, Sri Lanka; grown to maturity and pressed at the Foster Botanic Garden in Honolulu, HI",,,,,,,,,,"Hutchinson, Paul C.",,2784,#2784,1 - January,14,1967,Not shown,Not shown,Not shown,R0001110.JPG,NYBG 3196950,Moullava spicata,83ff6897-2f89-4a08-b61a-51b0914a62d0
16192991,Cameroon,South,,"Station du Cacaoyer de N'Koemvone, 14 km. on the road from Ebolowa to Ambam. Remnants of the primary forest in secondary vegetation along the Seng River",,,,2,49 N,,11,08 E,,"de Wilde, J. J. F. E.",,7668,,10 - October,30,1974,,,,R0001109.JPG,NYBG 3196949,Oddoniodendron micranthum,84029ffb-8ae7-4c59-87e5-74931054c73b
16192993,Cameroon,South,,Bipindi.,,,,,,,,,,Zenker,,97,,12 - December,Not Shown,1919,,,,R0001108.JPG,NYBG 3196948,Ormocarpum megalophyllum,8450f548-d58d-4e68-af59-69782594204f
16192994,Equatorial Guinea,Litoral,,Bata-Bome: Entre Rio Boara km. 10 de estrada madeireira con Mbini. Bosque secundario con arbustos trepadores,,,,,,,,,,Carvalho,,4869,,10 - October,8,1991,,,,R0001106.JPG,NYBG 3196947,Neochevalierodendron stephanii,8462f447-2c28-4a2e-ab76-92d430134535
16192995,Ecuador,Esmeraldas,,Borbon. Orillas de rio,1,,meters,,,,,,,"Little, Elbert L.",Robert G. Dixon,21158,,9 - September,27,1965,,,,R0001105.JPG,NYBG 3196946,Mora megistosperma,8474cda0-7b2a-4cc2-a183-e054bad30ef0
16192996,Guyana,Upper Demerara-Berbice,,"Near Tropenbos Ecological Reserve, ca. 20 km S of Mabura Hill. In Mora gonggrijpii forest on brown (loamy) sand on hill, uphill fringed by Greenheart forest, downhill by Mora excelsa forest.",0,100,meters,05,15 N,,058,45 W,,"Polak, M.",,322,,6 - June,5,1991,,,,R0001104.JPG,NYBG 3196945,Mora gonggrijpii,849daf32-99e4-4348-b149-0120acb9a9e7
16192998,Guyana,Upper Demerara-Berbice,,"Waraputa Compartment, ca. 25 km S of Mabura.",0,100,meters,05,15,,- 58,45,,"Polak, M.",,611,,12 - December,16,1991,,,,R0001102.JPG,NYBG 3196944,Mora excelsa,84b226e4-131d-41d8-b17a-5d712f20a1dc
16192999,Congo (Democratic Republic of the),South Kivu,Kalehe,"Vers Km 110, route Kavumu-Walikale, Irangi réserve I.R.S.A.C. Forêt ombrophile. Catena II; 2180 m",850,900,meters,,,,,,,"Troupin, G.",,7772,,7 - July,30,1958,,,,R0001100.JPG,NYBG 3196943,Aphanocalyx microphyllus,84e7645f-2fe5-4f73-bb47-f5dbdf7a2f6b
16193000,Gabon,,,"SE. of Sindora, right-bank of Ngounié R. 17 km. W. of Camp Waka. Forest.",400,,meters,1,13 S,,10,49 E,,"Leeuwenberg, A. J. M.",J. G. M. Persoon,13604,,9 - September,22,1985,,,,R0001098.JPG,NYBG 3196942,Aphanocalyx margininervatus,85165381-aa06-4436-b0f1-dbea235654eb
16193001,Gabon,,,"Rainforest, ca. 50 km. SW of Doussala.",,,,2,33 S,,10,32 E,,"Reitsma, J. M.",B. Reitsma & C. Wilks,3282,,4 - April,16,1987,,,,R0001097.JPG,NYBG 3196941,Aphanocalyx heitzii,852edef7-2285-4a19-8c67-dafca649bf5f
16193003,Cameroon,Southwest,,"Korup National Park, P transect, plot 24 B.",100,,meters,5.01 N,01 N,,8.47 E,47 E,,"van der Burgt, X. M.",,579,,1 - January,20,2000,,,,R0001086.JPG,NYBG 3196940,Microberlinia bisulcata,7ccf5e49-8080-425f-8f1a-1d7442fb86a2
16193004,French Guiana,Cayenne,,"Comté, à l'embouchure de Crique Sourou (en aval de Dd Edmond)",,,,,,,,,,Oldeman,,477,B-477,4 - April,24,1966,,,,R0001085.JPG,NYBG 3196939,Melanoxylon speciosum,7cf5efa2-5b7d-4c5c-a64a-c7e6a6e523f8
16193005,Fiji,,,"Kandavu. Western end of island, near Cape Washington.",0,20,meters,,,,,,,"Smith, A. C.",,322,,10 - October,28,1933,,,,R0001082.JPG,NYBG 3196937,Maniltoa grandiflora,7d2f7471-5a5a-4b63-bcda-40f9e9933fcb
16193006,Indonesia,West Java,,"Botanic Gardens Buitenzorg, Java [Cultivated: Origin: Teysmann leg. on 28.XII.1897, in N. New Guinea.]",,,,,,,,,,"De Wit, H.C.D.",,,I.i.33 a.,5 - May,31,1941,,,,R0001081.JPG,NYBG 3196936,Maniltoa browneoides,7d313872-8bc0-446e-8355-db23656384ab
16193008,Papua New Guinea,Morobe,,"Near Markham Bridge, Morobe District, T.N.G. Rainforest on river bank.",100,,feet,- 6,45 S,,147,00 E,,"Womersley, J. S.",,19235,NGF 19235,5 - May,13,1964,,,,R0001080.JPG,NYBG 3196935,Maniltoa megalocephala,7d3f1e20-4d27-4224-9eb5-49a8d27914cd
16193009,Fiji,Serua,,Viti Levu; Serua; flat coastal strip in vicinity of Ngaloa.,,,meters,,,,,,,"Smith, A. C.",,9700,,11 - November,26,1953,12 - December,26,1953,R0001079.JPG,NYBG 3196934,Maniltoa floribunda,7d40696b-71a9-4f2d-a491-1760b7413dc1
16193010,Tonga,Eua,,On side of ravine a short distance northeast from the village of Ohonua on the western side of the island.,,,,,,,,,,"Yuncker, T. G.",,"15,635","15,635",4 - April,2,1953,,,,R0001078.JPG,NYBG 3196933,Maniltoa amicorum,7d6a4f64-1e37-4f92-b7cd-ee304042f45b
16193011,Angola,Malange,Quela,"Malange, Quela",,,,,,,,,,"Nolde, Ilse v.",,213,,4 - April,Not Shown,1938,,,,R0001077.JPG,NYBG 3196932,Anthonotha noldeae,7d8e1e57-a064-4f52-a628-96cd859d10f9
16193013,Gabon,,,Acoureuzoe,,,,,,,,,,"Le Testu, G.",,9443,9.443,5 - May,19,,,,,R0001076.JPG,NYBG 3196931,Anthonotha isopetala,7da332d2-d12c-4419-8095-a2e044b121f1
16193014,Liberia,,Margibi,(Near Firestone Plantations) along Dukwai R.,,,,,,,,,,"Cooper, G. P.",,100,Ser. No. L3750 Coll. No. 100,Not Shown,Not Shown,1928,Not shown,Not shown,Not shown,R0001075.JPG,NYBG 3196930,Anthonotha explicans,7dbfa959-2ba9-415b-a7b5-0c3c02feb20f
16193015,Venezuela (Bolivarian Republic of),,,"Territorio Federal Amazonas. San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare. Main study site, 4.3 km NNE on Solano road; phenology transect, plant permanently marked (#357, x3.4 y557.5).",119,,meters,1,56 N,,- 67,03 W,,Howard L. Clark,,7284,,1 - January,24,1980,,,,R0001073.JPG,NYBG 3196929,Macrolobium venulosum,7e303717-7acf-4c97-89d9-08def6faee41
16193016,Trinidad and Tobago,Not shown,Not shown,trail to Cerro del Aripo,2400,2600,feet,,,,,,,,C. D. Adams & Y. S. Baksh,161,YSB 161,3 - March,2,1981,3 - March,2,1981,R0001071.JPG,NYBG 3196928,Macrolobium trinitense,7e7f0386-34ca-4259-9802-ddfa1d611741
16193018,Venezuela (Bolivarian Republic of),Amazonas,,"San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare. IVIC main study site; 4.3 km NNE on Solano road. Average rainfall 3400-3600 mm/year.",119,,meters,1,56 N,,67,03 W,,"Clark, Howard L.",Pedro Maquirino,8212,,8 - August,26,1981,,,,R0001070.JPG,NYBG 3196927,Macrolobium suaveolens,7e8cbe8d-a311-4049-916b-35d6b1b90568
16193019,Venezuela (Bolivarian Republic of),Amazonas,,"Rio Atabapo. Cano Caname, 5 km. below Guarinumo, savanna on left bank.",125,140,meters,,,,,,,"Wurdack, J. J.",L. S. Adderley,42869,,6 - June,8,1959,,,,R0001069.JPG,NYBG 3196926,Macrolobium schinifolium,7e919ce5-a28a-4c2a-a0fc-c66855c74359
16193020,Venezuela (Bolivarian Republic of),Amazonas,Atabapo,"Depto Atabapo, sabanas de arena blanca a unos 10 km al N del sector NE del Cerro Yapacana",100,,meters,3,44 N,,- 66,48 W,,"Huber, Otto",,4799,,2 - February,28,1980,,,,R0001068.JPG,NYBG 3196925,Macrolobium savannarum,7eb6e945-4672-45f3-91ea-36f08b088e2a
16193021,Venezuela (Bolivarian Republic of),,Distrito Libertador,Cordillera de la Costa: a lo largo de la carretera arco de Colonia Tovar-Puerto Cruz: cerca del limite del Monumento Natural Pico Codazzi: en zona de cafetales.,1400,,meters,,,,,,,"Meier, W.","Borjas, P.",5924,,11 - November,30,1999,,,,R0001067.JPG,NYBG 3196924,Macrolobium steyermarkii,7ed7bdbd-eedb-4a99-9002-8468fa1ae094
16193023,Venezuela (Bolivarian Republic of),Amazonas,,Territorio Federal Amazonas - Piedra de Cucui. High caatinga and several formations on granite mountain.,130,370,meters,00°,15',,-66°,51',,"Daly, D. C.","C. F. Sá, R. P. Lima",5512,,10 - October,28,1987,,,,R0001062.JPG,NYBG 3196923,Macrolobium prancei,7f94bc23-3411-4011-94b5-dd3e897ce5d7
16193024,Venezuela (Bolivarian Republic of),,,"Estado Carabobo: selva siempre verde a lo largo Rio San Gian, entre arriba de la Planta Electrica y 2 km debajo de la Planta Electrica, al sur de Borburata",350,550,meters,,,,,,,"Steyermark, Julian A.",Cora Steyermark,95457,,4 - April,2,1966,,,,R0001059.JPG,NYBG 3196921,Macrolobium obtusum,7fbc4757-6c1b-4415-9707-216435c6aa51
16193025,Venezuela (Bolivarian Republic of),Amazonas,,Rio Baria.,89,,meters,1,25,30.1 N,66,27,16.8 W,"Redden, K. M.","R. Williams, W. Diaz, O. Leon, O. Santaella, D. Garcia, A. Garcia",3641,,2 - February,9,2005,,,,R0001058.JPG,NYBG 3196920,Macrolobium multijugum,7fcede74-32c5-4b1b-90c4-b7a0778df82e
16193026,Venezuela (Bolivarian Republic of),Amazonas,Rio Negro,"AMAZONAS: Departmento Rio Negro, Rio Pasimoni, between its mouth and its junction with the Rio Baria and the Rio Yatua. Inundated forest along river margin.",80,80,meters,1,53-27,,- 66,35-32,,"Davidse, Gerrit",,27832,,7 - July,23,1984,7 - July,25,1984,R0001056.JPG,NYBG 3196919,Macrolobium molle,8004a766-a985-42e2-ae85-48303f69c98d
16193028,Peru,Huanuco,Huanuco,Carretera a Monzón,833,,meters,,,,,,,"Schunke-Vigo, José",,1058,,2 - February,11,1966,,,,R0001053.JPG,NYBG 3196918,Macrolobium machaerioides,8017f01f-9651-4096-8348-0f4c5f8ebc11
16193029,Venezuela (Bolivarian Republic of),Amazonas,,"Rio Atabapo, Territorio Amazonas.
Occasional in Sabana Cumare on right bank of Cano Cumare (20 km. above San Fernando de Atavapo).",125,140,meters,,,,,,,"Wurdack, J. J.",L. S. Adderley,43758,,8 - August,5,1959,,,,R0001052.JPG,NYBG 3196917,Macrolobium longipes,80383182-7bde-4f76-a02e-37e534881082
16193030,Guyana,Cuyuni-Mazaruni,,Imbaimadai vicinity. Mazaruni River. 0.55 miles South West of Partang River base camp.,405,,meters,5,41,18 N,- 60,17,10.2W,"Redden, K. M.",C. Perry & R. Williams,1242,,11 - November,23,2002,,,,R0001050.JPG,NYBG 3196916,Macrolobium longeracemosum,80981280-c82c-40d0-a6a2-88688ba8443e
16193031,Peru,Loreto,Maynas,"Dtto. Iquitos. Carretera de Peña Negra, ca 7 km de Quisto Cocha.",150,,meters,,,,,,,"Rimachi Y., Manuel",,6187,,7 - July,12,1982,,,,R0001047.JPG,NYBG 3196915,Macrolobium klugii,7535365a-1b20-46bf-9de3-d19900c554ba
16193033,Guyana,Mahaica-Berbice,,"Margins of Upper Abary River, area to be inundated.",,,,6,,57,- 57,50,,"Maas, P. J. M.","E. A. Mennega, B. J. H. ter Welle & H. J. Groen",5430,,10 - October,2,1981,,,,R0001046.JPG,NYBG 3196914,Macrolobium jenmanii,75b7520c-7272-4c2b-8a7a-1d4986dec514
16193034,Colombia,Antioquia,Anori,"Quebrada la Tirana, Just above its confluence with Anorí river. Municip. de Anorí, Corregim. de Providencia.",400,700,meters,,,,,,,"Soejarto, Djaja D.","E. Giraldo, D. Vaughan, D. Percy",4490,,2 - February,20,1976,2 - February,25,1976,R0001044.JPG,NYBG 3196913,Macrolobium ischnocalyx,760a0ef4-1039-470d-b6fb-dd2bda137b27
16193035,Peru,Loreto,Requena,"Dtto. Saquena. Río Ucayali, Quebrade de Aucayacu, above Genaro Herrera.",,,,,,,,,,"Rimachi Y., Manuel",,4290,,2 - February,10,1979,,,,R0001042.JPG,NYBG 3196912,Macrolobium inaequale,763fee57-0f19-4542-acc4-aaf35f2cbd22
16193036,French Guiana,Cayenne Arrondissement,Iracoubo Commune,"Route de St Laurent, apres Organabo.",,,,,,,,,,"Sabatier, D.",,2099,F-97323,3 - March,21,1988,,,,R0001043.JPG,NYBG 3196911,Macrolobium guianense,7647b66f-8c04-414d-b463-0d4b135cf406
