subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16193397,Mexico,Michoacán,Múgica,"Along the Morelia-Lázaro Cárdenas autopista, 2 km northeast of the exit for Nueva Italia, old lava flow east of the highway.",400,,meters,19,00,15 N,102,04,30 W,"Steinmann, V. W.",,3126,,2 - February,15,2003,,,,R0000309.JPG,NYBG 3196573,Caesalpinia macvaughii,4fd2af55-bfeb-47a3-a956-c85750fa7204
16193398,Mexico,Sonora,,"Coralitos, shore at south side of Isla Tiburon.",,,,,,,,,,"Wilkinson, R. L.",,212,,10 - October,11,1977,,,,R0000308.JPG,NYBG 3196572,Hoffmannseggia intricata,4ff258dc-195d-458f-ba24-28025817f655
16193400,Mexico,Oaxaca,El Espinal,"Mpo. El Espinal, on Hwy 200 from Puerto Angel to Acapulco, about 60 miles W-NW of Puerto Angel, 5.4 miles E-SE of Tecpan.",,,,,,,,,,"Grimes, James","Lavin, Luckow, Whittemore, Kearns",2637,,3 - March,13,1985,,,,R0000307.JPG,NYBG 3196571,Caesalpinia hughesii,4ff56d01-2c2e-4bb6-8941-abb1fa320eee
16193401,Mexico,Michoacán,Nocupétaro,"1.3 km al noroeste de San Antonio de las Huertas, sobre el camino a Villa Madero.",650,,meters,19,02,51 N,101,15,58 W,"Steinmann, V. W.",J. M. Porter,4115,,2 - February,3,2004,,,,R0000306.JPG,NYBG 3196570,Caesalpinia hintonii,4ffafa76-c5f3-4480-9011-8df7fe021904
16193402,Mexico,Sonora,Hermosillo,"Municipio Hermosillo; 7.3 mi (11.7 km) S of Hermosillo on Hwy. 15. Thorn scrub of Krameria, Caesalpinia, Larrea, columnar cacti.",230,,meters,,,,,,,"Cowan, Clark P.","M. Luckow, D. Kearns, N. Jacobson",5535,,8 - August,24,1985,,,,R0000305.JPG,NYBG 3196569,Caesalpinia pumila,4ffd708c-bed8-4b24-a7b6-d742b1f2f346
16193403,Mexico,Quintana Roo,José María Morelos,Mun. Adolfo de la Huerta. A 2.78 km al N del poblado Zafarrancho.,88,,meters,19,32,14 N,88,52,23 O,"Álvarez, Demetrio",,8480,,3 - March,19,2004,,,,R0000304.JPG,NYBG 3196568,Caesalpinia gaumeri,4fff4ba2-d0cf-4c83-bedb-d8d7170e9940
16193404,Mexico,Durango,Durango,"Ca. 25-30 mi. W. of Mapani, off Hgwy. 30",,,,,,,,,,Engard,Hodgson,1799,H1799,7 - July,9,1982,,,,R0000303.JPG,NYBG 3196567,Pomaria fruticosa,5a941bcb-7120-4cc2-a34e-62f2c264a2f5
16193405,Costa Rica,Guanacaste,,"On the road to Roblar, 50 km from the junction with the road from Quebrada Honda to the Rio Tempisque Ferry at puerto Moreno. Dry hilly area with pasture. Common in fenceline.",100,,meters,10,15 N,,- 85,20 W,,"Hawkins, J. A.","Hughes, C.E.",8,,2 - February,5,1993,,,,R0000302.JPG,NYBG 3196566,Caesalpinia exostemma,501a1b18-b78a-470d-ab91-01baa60daa39
16193407,Mexico,Michoacán,La Huacana,"Ca. 0.5 km northeast of Los Ranchos, at western base of Cerro El Barril.",300,,meters,18,42,20 N,102,00,30 W,"Steinmann, V. W.",,3099,,1 - January,18,2003,,,,R0000301.JPG,NYBG 3196565,Caesalpinia eriostachys,501f18e8-5898-46b3-8958-da88c7650c55
16193408,Mexico,Oaxaca,,"Municipio de San Pedro Huamelula, Distrito Tehuantepec. San Isidro Chacalapa, a5.4 km N de la desviacion de la carretera costera.",220,,meters,15,54,19 N,95,55,44 W,"Rivera H., Jaime",S. Salas M. & M. Elorsa C.,2106,,1 - January,21,2000,,,,R0000300.JPG,NYBG 3196564,Caesalpinia coriaria,50209360-f8a5-45a0-baec-e91135f64022
